series_1	series_2	series_3
63.5913495	45.3443234	5.19583503
61.2165953	37.9080348	0.854897127
60.7867272	43.4779078	2.88204374
63.5727163	48.7526347	9.16489582
59.2910352	45.6234926	2.50133263
63.1043959	42.3104128	9.94151701
56.1158146	40.1714485	3.48469779
60.9651003	41.2539441	1.58000961
65.7530509	44.9176019	10.7550503
61.8955202	44.2502831	2.90148039
65.5407531	46.6626699	14.5883289
62.5514635	43.6416092	6.38138703
60.4109593	42.6658425	4.88766745
64.4447482	44.6807811	6.47398483
64.156881	47.5605229	7.66987166
61.0415426	41.5619322	3.0600323
63.2023569	41.543084	5.30086157
57.7046047	43.4288659	1.72292523
62.1268588	33.1718854	5.96209769
61.8230055	49.4971506	6.29249335
62.8384976	37.4796098	0.972964042
68.8952383	44.35751	16.5805663
63.2041609	35.6683663	1.01497362
60.7140869	40.4061796	1.69372047
60.1507561	37.2813882	0.720806422
62.9700922	40.5496414	1.5152883
61.3639809	43.2792917	4.40642778
60.6577484	46.8059531	6.52007264
58.591229	46.3195482	3.58024063
60.5163452	43.9168862	5.33613146
60.6459174	44.7082527	3.9172067
64.1063682	46.6329557	6.51882357
62.8045639	48.223783	8.45874334
65.3110625	37.5669488	4.0192011
62.9516672	45.0263224	5.09881585
57.5583023	42.2725932	1.46743375
60.2498383	43.5228937	5.39013521
59.2253121	42.2846634	7.87986642
58.9776076	42.6472982	4.1919156
61.5390763	39.3549816	2.83662047
67.7153648	46.2763525	11.0125605
64.9012159	41.6533992	6.82077789
66.7209657	44.4424349	7.15711486
61.1219233	42.6153324	3.72061111
61.752814	37.4134024	0.532500858
56.8734181	34.7659321	2.91424824
61.559568	48.1278002	5.86630647
63.0570545	45.9195636	2.54371912
60.490604	37.4867624	1.02359301
64.0178704	41.3482649	5.73401666
60.1998034	43.4177118	5.92114509
55.1219065	35.7545369	1.88119836
63.0832457	42.7801969	2.86692671
62.3333741	41.7521566	2.30789639
72.9482241	46.4310638	7.52402275
62.8579658	41.8524086	1.43638743
66.7093491	41.5188939	2.29646529
57.1518335	40.1416787	6.38906333
63.558096	44.0513679	1.05149295
63.3312223	39.2943936	4.1031265
58.7665803	37.6254658	2.33705526
65.152658	39.1124711	5.76205987
62.1407269	45.8981525	5.00824871
60.5026916	47.0846353	6.82989885
59.8962108	47.9605966	6.2638106
62.8685093	46.208641	1.08873612
64.3782382	42.9950069	3.25750081
62.0358297	40.9131084	4.10702387
63.9275654	37.9185696	2.78606541
59.7025222	42.9990779	4.15283059
68.222734	42.9523829	7.38408604
66.4354305	41.8988646	3.44655592
60.2207992	38.1909339	2.71792877
64.168437	41.1084501	9.27995698
56.9980601	43.686657	5.68442078
61.2860903	42.639605	3.66068324
68.7548134	41.4284519	6.20234723
60.8287034	45.9629397	6.51069862
62.8040157	44.703487	5.16993982
66.8945195	46.3902991	2.32207713
55.1805293	44.8981038	3.15429649
60.5422039	45.0066156	4.70104902
66.3416281	46.8591664	10.3172537
61.2820129	41.6617286	2.7359316
58.5299504	40.8220329	0.730169473
65.0731659	42.9180254	4.33427107
59.5969247	39.1912689	2.40874815
64.6970561	38.8455104	2.81159812
59.9641735	44.248382	4.8664805
63.8696121	40.3747571	2.89459516
65.9825922	40.5787585	6.71550905
61.7248159	42.2768908	1.69189961
62.0760897	42.5664244	2.64620112
57.9831609	39.7899565	1.28069887
61.3117463	38.980724	2.47092559
61.6434367	45.0285823	3.38579158
58.323664	43.0725891	2.98108767
61.3243191	47.5595824	3.59006648
57.9445059	36.5310343	2.0060769
64.9306494	39.5356496	1.06998278
